config_id	category	scope	route	stage	metric	min_value	default_value	max_value	unit	value_type	enum_value	is_tunable	source_section	notes
flow_prologue_battles	flow_count	global	all	prologue	序章战斗数	1	1	1	battle	int		FALSE	二、完整战斗数量规划	剧情教学 / 师父救场
flow_wuju_total_battles	flow_count	global	all	wuju	武举线总战斗数	5	5	5	battle	int		FALSE	二、完整战斗数量规划	含兵器使用 2 场 + 武举正式考核 3 场
flow_wuju_weapon_trial_battles	flow_count	global	all	wuju_weapon_trial	武举兵器使用教学战斗数	2	2	2	battle	int		FALSE	四、武举线	并入武举线
flow_wuju_formal_exam_battles	flow_count	global	all	wuju_formal_exam	武举正式考核战斗数	3	3	3	battle	int		FALSE	四、武举线	步法 / 兵器 / 对人战
flow_big_map_battles	flow_count	global	all	big_map	大地图实际战斗数	14	15	16	battle	int		TRUE	二、完整战斗数量规划	成长曲线按 15 场测算
flow_normal_boss_battles	flow_count	ending	normal	boss	普通结局 Boss 数	1	1	1	battle	int		FALSE	二、完整战斗数量规划	8-9 境可通
flow_true_boss_battles	flow_count	ending	true	boss	真结局 Boss 数	2	2	2	battle	int		FALSE	二、完整战斗数量规划	Boss 1 + 真 Boss
flow_wuzhuangyuan_exam_battles	flow_count	ending	wuzhuangyuan	wuzhuangyuan_exam	武状元回京考试战斗数	5	5	5	battle	int		FALSE	二、完整战斗数量规划	走完获得武状元特殊结局
flow_route_total_normal	route_total	ending	normal	full_run	普通结局总战斗数	22	22	22	battle	int		TRUE	二、完整战斗数量规划	序章 1 + 武举 5 + 大地图 15 + 普通 Boss 1
flow_route_total_true	route_total	ending	true	full_run	真结局总战斗数	23	23	23	battle	int		TRUE	二、完整战斗数量规划	序章 1 + 武举 5 + 大地图 15 + 真结局 Boss 2
flow_route_total_wuzhuangyuan	route_total	ending	wuzhuangyuan	full_run	武状元特殊结局总战斗数	26	26	26	battle	int		TRUE	二、完整战斗数量规划	序章 1 + 武举 5 + 大地图 15 + 回京考试 5
big_map_normal_route_normal_battles	big_map_mix	big_map	normal	big_map	普通路线普通战斗数	12	12	12	battle	int		TRUE	五、大地图战斗规划	普通路线：12 普通 + 3 精英
big_map_normal_route_elite_battles	big_map_mix	big_map	normal	big_map	普通路线精英战斗数	3	3	3	battle	int		TRUE	五、大地图战斗规划	最终 8-9 境
big_map_standard_route_normal_battles	big_map_mix	big_map	standard	big_map	标准路线普通战斗数	11	11	11	battle	int		TRUE	五、大地图战斗规划	标准路线：11 普通 + 4 精英
big_map_standard_route_elite_battles	big_map_mix	big_map	standard	big_map	标准路线精英战斗数	4	4	4	battle	int		TRUE	五、大地图战斗规划	接近或达到 10 境
big_map_elite_route_normal_battles	big_map_mix	big_map	elite	big_map	精英路线普通战斗数	10	10	10	battle	int		TRUE	五、大地图战斗规划	精英路线：10 普通 + 5 精英
big_map_elite_route_elite_battles	big_map_mix	big_map	elite	big_map	精英路线精英战斗数	5	5	5	battle	int		TRUE	五、大地图战斗规划	稳定 10 境，真结局 / 武状元候选
big_map_elite_battle_count	big_map_ratio	big_map	all	big_map	每局精英战斗数量	3	4	5	battle	int		TRUE	五、大地图战斗规划	15 场中约 3-5 场精英
big_map_elite_ratio	big_map_ratio	big_map	all	big_map	精英战比例	0.2	0.27	0.3333	ratio	float		TRUE	五、大地图战斗规划	设计目标约 20%-30%；5/15 为高压路线硬上限，实际约 33.3%
big_map_segment_count	big_map_structure	big_map	all	big_map	大地图分段数	3	3	3	segment	int		FALSE	五、大地图战斗规划	前段 / 中段 / 后段
big_map_segment_battles	big_map_structure	big_map	all	big_map_segment	每段战斗数	5	5	5	battle	int		FALSE	五、大地图战斗规划	M01-M05 / M06-M10 / M11-M15
big_map_early_elite_count	big_map_structure	big_map	all	M01-M05	前段精英数	0	1	1	battle	int		TRUE	五、大地图战斗规划	基础构筑检查，不放连续精英
big_map_mid_elite_count	big_map_structure	big_map	all	M06-M10	中段精英数	1	2	2	battle	int		TRUE	五、大地图战斗规划	构筑分化
big_map_late_elite_count	big_map_structure	big_map	all	M11-M15	后段精英数	2	2	2	battle	int		TRUE	五、大地图战斗规划	Boss / 结局路线前压力测试
