step_id	step_name	command	exit_code	status	duration_ms	blocked_reason	notes
1	lite_export_battle_reward	python3 tools/content_engine/content_engine_export.py --domain battle_reward --write	0	PASS	144		none
2	lite_validate	python3 tools/content_engine/content_engine_validate.py	0	PASS	122		none
3	lite_godot_probe	python3 tools/content_engine/content_engine_godot_probe.py	0	PASS	887		none
4	battle_reward_runtime_adapter_scaffold_probe	python3 tools/content_engine/battle_reward_runtime_adapter_scaffold_probe.py	0	PASS	108		none
5	battle_reward_runtime_adapter_scaffold_validator	python3 tools/content_engine/battle_reward_runtime_adapter_scaffold_validator.py	0	PASS	66		none
6	battle_reward_shadow_integration_plan_probe	python3 tools/content_engine/battle_reward_shadow_integration_plan_probe.py	0	PASS	111		none
7	battle_reward_shadow_integration_plan_validator	python3 tools/content_engine/battle_reward_shadow_integration_plan_validator.py	0	PASS	60		none
8	battle_reward_shadow_runtime_probe	python3 tools/content_engine/battle_reward_shadow_runtime_probe.py	0	PASS	111		none
9	battle_reward_shadow_runtime_validator	python3 tools/content_engine/battle_reward_shadow_runtime_validator.py	0	PASS	61		none
10	battle_reward_shadow_freeze_probe	python3 tools/content_engine/battle_reward_shadow_freeze_probe.py	0	PASS	124		none
11	battle_reward_shadow_freeze_validator	python3 tools/content_engine/battle_reward_shadow_freeze_validator.py	0	PASS	62		none
12	battle_reward_runtime_test_harness	python3 tools/content_engine/battle_reward_runtime_test_harness.py	0	PASS	98		none
13	battle_reward_runtime_test_harness_validator	python3 tools/content_engine/battle_reward_runtime_test_harness_validator.py	0	PASS	61		none
14	full_preview_readonly_probe_py	python3 tools/content_engine/full_preview_readonly_probe.py	0	PASS	51		none
15	full_preview_readonly_probe_godot	godot --headless --path . --script tools/content_engine/full_preview_readonly_probe.gd	0	PASS	328		none
16	full_preview_readonly_validator	python3 tools/content_engine/full_preview_readonly_validator.py	0	PASS	79		none
17	full_package_shadow_compare_probe	python3 tools/content_engine/full_package_shadow_compare_probe.py	0	PASS	49		none
18	full_package_shadow_compare_validator	python3 tools/content_engine/full_package_shadow_compare_validator.py	0	PASS	83		none
19	full_package_candidate_path_probe	python3 tools/content_engine/full_package_candidate_path_probe.py	0	PASS	48		none
20	full_package_candidate_path_validator	python3 tools/content_engine/full_package_candidate_path_validator.py	0	PASS	77		none
21	full_package_whitelist_test_enable_probe	python3 tools/content_engine/full_package_whitelist_test_enable_probe.py	0	PASS	45		none
22	full_package_whitelist_test_enable_validator	python3 tools/content_engine/full_package_whitelist_test_enable_validator.py	0	PASS	81		none
23	full_package_runtime_readiness_audit	python3 tools/content_engine/full_package_runtime_readiness_audit.py	0	PASS	47		none
24	full_package_runtime_readiness_validator	python3 tools/content_engine/full_package_runtime_readiness_validator.py	0	PASS	83		none
25	full_content_runtime_bridge_contract_generator	python3 tools/content_engine/full_content_runtime_bridge_contract_generator.py	0	PASS	51		none
26	full_content_runtime_bridge_contract_validator	python3 tools/content_engine/full_content_runtime_bridge_contract_validator.py	0	PASS	80		none
27	generated_content_runtime_bridge_probe	godot --headless --path . --script tools/content_engine/generated_content_runtime_bridge_probe.gd	0	PASS	324		none
28	generated_content_runtime_bridge_validator	python3 tools/content_engine/generated_content_runtime_bridge_validator.py	0	PASS	80		none
29	generated_content_formal_enable_probe	godot --headless --path . --script tools/content_engine/generated_content_formal_enable_probe.gd	0	PASS	329		none
30	generated_content_formal_enable_validator	python3 tools/content_engine/generated_content_formal_enable_validator.py	0	PASS	81		none
31	generated_battle_domain_formal_probe	godot --headless --path . --script tools/content_engine/generated_battle_domain_formal_probe.gd	0	PASS	423		none
32	generated_battle_domain_formal_validator	python3 tools/content_engine/generated_battle_domain_formal_validator.py	0	PASS	77		none
33	generated_map_route_domain_formal_probe	godot --headless --path . --script tools/content_engine/generated_map_route_domain_formal_probe.gd	0	PASS	453		none
34	generated_map_route_domain_formal_validator	python3 tools/content_engine/generated_map_route_domain_formal_validator.py	0	PASS	83		none
35	generated_full_domain_enable_acceptance_probe	godot --headless --path . --script tools/content_engine/generated_full_domain_enable_acceptance_probe.gd	0	PASS	425		none
36	generated_full_domain_enable_acceptance_validator	python3 tools/content_engine/generated_full_domain_enable_acceptance_validator.py	0	PASS	75		none
37	generated_slice_whitelist_expander	python3 tools/content_engine/generated_slice_whitelist_expander.py	0	PASS	50		none
