archetype_id	scope	route_type	battle_type	tier	weapon_style	enemy_role	complexity_level	expected_player_realm	preferred_distance_min	preferred_distance_max	primary_checks	secondary_checks	tactic_role_ratio	recommended_deck_variant_count	visual_identity_hint	forbidden_tags	discouraged_tags	source_requirement_id	notes
coastal_raider_blade	big_map_normal	common	normal	basic	blademaster	pressure	2	4-8	1	2	distance_control,guard_management	burst_survival	pressure:35,approach:25,burst:20,guard:20	3	海寇刀客	no_boss_only,no_true_boss_skill,no_high_lightness_required	avoid_complex_combo,avoid_instant_burst	big_map_normal	普通敌人 archetype；仅输出骨架，不包含具体卡组。
coastal_raider_spear	big_map_normal	common	normal	basic	spearman	control	2	4-8	2	3	anti_approach,distance_control	posture_pressure	control:35,break:25,pressure:20,guard:20	3	海寇枪兵	no_boss_only,no_true_boss_skill,no_high_lightness_required	avoid_complex_combo,avoid_instant_burst	big_map_normal	普通敌人 archetype；仅输出骨架，不包含具体卡组。
militia_spearman	big_map_normal	common	normal	basic	spearman	control	1	4-8	2	3	distance_control,anti_approach	guard_management	control:40,guard:25,break:20,pressure:15	3	海防枪兵	no_boss_only,no_true_boss_skill,no_high_lightness_required	avoid_complex_combo,avoid_instant_burst	big_map_normal	普通敌人 archetype；仅输出骨架，不包含具体卡组。
shield_blademan	big_map_normal	common	normal	basic	blademaster	guard_counter	2	4-8	1	2	guard_management,burst_survival	distance_control	guard:40,counter:30,pressure:20,break:10	3	持盾刀手	no_boss_only,no_true_boss_skill,no_high_lightness_required	avoid_complex_combo,avoid_instant_burst	big_map_normal	普通敌人 archetype；仅输出骨架，不包含具体卡组。
scout_footwork	big_map_normal	common	normal	advanced	footwork	footwork	3	5-8	1	3	footwork_response,combo_stability	distance_control	footwork:35,pressure:25,control:20,guard:20	3	斥候身法手	no_boss_only,no_true_boss_skill,no_high_lightness_required	avoid_complex_combo,avoid_instant_burst	big_map_normal	普通敌人 archetype；仅输出骨架，不包含具体卡组。
firearm_runner	big_map_normal	common	normal	advanced	firearm	firearm_pressure	3	5-8	3	4	firearm_approach,distance_control	guard_management	firearm_pressure:40,control:30,guard:20,burst:10	3	火器游击手	no_boss_only,no_true_boss_skill,no_high_lightness_required	avoid_complex_combo,avoid_instant_burst	big_map_normal	普通敌人 archetype；仅输出骨架，不包含具体卡组。
hungry_garrison	big_map_normal	common	normal	basic	mixed	pressure	2	5-8	1	2	posture_pressure,guard_management	burst_survival	pressure:30,break:30,guard:20,control:20	2	饥军杂营	no_boss_only,no_true_boss_skill,no_high_lightness_required	avoid_complex_combo,avoid_instant_burst	big_map_normal	普通敌人 archetype；仅输出骨架，不包含具体卡组。
corrupt_patrolman	big_map_normal	common	normal	basic	official	control	2	5-8	1	3	distance_control,anti_approach	footwork_response	control:30,guard_counter:30,pressure:20,break:20	2	军门巡哨	no_boss_only,no_true_boss_skill,no_high_lightness_required	avoid_complex_combo,avoid_instant_burst	big_map_normal	普通敌人 archetype；仅输出骨架，不包含具体卡组。
elite_spear_instructor	big_map_elite	common	elite	elite	spearman	control	3	7-10	2	3	distance_control,anti_approach,combo_stability	guard_management	control:35,break:30,guard:20,pressure:15	2	京营枪术教头	no_true_boss_skill,no_high_lightness_required	avoid_long_range_lock	big_map_elite	精英敌人 archetype；用于 3-5 场精英池。
elite_blade_counter	big_map_elite	common	elite	elite	blademaster	guard_counter	4	7-10	1	2	guard_management,burst_survival,posture_pressure	distance_control	guard_counter:35,pressure:25,burst:20,break:20	2	军门刀术都头	no_true_boss_skill,no_high_lightness_required	avoid_long_range_lock	big_map_elite	精英敌人 archetype；用于 3-5 场精英池。
elite_dual_blade_raider	big_map_elite	common	elite	elite	mixed	burst	4	7-10	1	2	burst_survival,footwork_response	guard_management	burst:35,pressure:30,footwork:20,guard:15	2	双刀精锐海寇	no_true_boss_skill,no_high_lightness_required	avoid_long_range_lock	big_map_elite	精英敌人 archetype；用于 3-5 场精英池。
elite_firearm_guard	big_map_elite	common	elite	elite	firearm	firearm_pressure	3	7-10	3	4	firearm_approach,distance_control	posture_pressure	firearm_pressure:40,control:30,guard:20,break:10	1	火器营精锐	no_true_boss_skill,no_high_lightness_required	avoid_long_range_lock	big_map_elite	精英敌人 archetype；用于 3-5 场精英池。
elite_military_officer	big_map_elite	common	elite	elite	official	boss_controller	4	7-10	1	3	combo_stability,distance_control,guard_management	burst_survival	control:30,guard_counter:25,break:25,pressure:20	1	军门校尉	no_true_boss_skill,no_high_lightness_required	avoid_long_range_lock	big_map_elite	精英敌人 archetype；用于 3-5 场精英池。
normal_boss_old_case_officer	boss_normal	normal	boss	boss	official	boss_controller	4	8-9	1	3	guard_management,posture_pressure,combo_stability	distance_control,burst_survival	control:30,guard_counter:25,break:25,pressure:20	1	旧案军门官	no_true_boss_skill,no_high_lightness_required	avoid_instant_burst	boss_normal	普通结局 Boss；8-9 境可通，不以轻功 3-4 为门槛。
true_boss_gatekeeper	boss_true	true_route	boss	boss	mixed	boss_controller	4	9-10	1	3	combo_stability,guard_management,boss_phase_reading	distance_control,posture_pressure	control:30,break:25,guard_counter:25,pressure:20	1	真结局守门强敌	no_lightness_hard_gate	avoid_instant_burst	boss_true	真结局 Boss 1；作为真 Boss 前置检查。
true_boss_hidden_commander	boss_true	true_route	true_boss	boss	mixed	boss_controller	5	10	2	4	boss_phase_reading,combo_stability,burst_survival	distance_control,firearm_approach	control:30,pressure:25,break:25,guard_counter:20	1	真结局隐秘统领	no_lightness_hard_gate	avoid_instant_burst	boss_true	真 Boss；按武道 10 境设计，轻功 4 仅提供优势。
exam_capital_basic_weapon	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	official	mixed_examiner	4	10	1	2	exam_fundamentals,distance_control	guard_management	pressure:25,control:25,guard:25,break:25	1	京营武备考官	no_lightness_hard_gate,no_true_boss_skill	avoid_instant_burst	wuzhuangyuan_exam	武状元考试 archetype；打法规整、制度化，不走海寇亡命节奏。
exam_capital_footwork	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	footwork	footwork	4	10	1	3	exam_fundamentals,footwork_response	distance_control	footwork:35,control:25,guard:20,pressure:20	1	京营步法考官	no_lightness_hard_gate,no_true_boss_skill	avoid_instant_burst	wuzhuangyuan_exam	武状元考试 archetype；打法规整、制度化，不走海寇亡命节奏。
exam_capital_mixed_weapon	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	mixed	mixed_examiner	4	10	1	3	exam_fundamentals,combo_stability	guard_management	control:30,pressure:25,break:25,guard:20	1	殿前混兵考核官	no_lightness_hard_gate,no_true_boss_skill	avoid_instant_burst	wuzhuangyuan_exam	武状元考试 archetype；打法规整、制度化，不走海寇亡命节奏。
exam_capital_duel_chain	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	blademaster	guard_counter	4	10	1	2	exam_fundamentals,burst_survival	posture_pressure	guard_counter:30,pressure:30,burst:20,control:20	1	殿前连战擂主	no_lightness_hard_gate,no_true_boss_skill	avoid_instant_burst	wuzhuangyuan_exam	武状元考试 archetype；打法规整、制度化，不走海寇亡命节奏。
exam_imperial_final_examiner	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	official	boss_controller	5	10	1	3	exam_fundamentals,boss_phase_reading,combo_stability	guard_management,footwork_response	control:30,guard_counter:25,break:25,pressure:20	1	殿前终试考官	no_lightness_hard_gate,no_true_boss_skill	avoid_instant_burst	wuzhuangyuan_exam	武状元考试 archetype；打法规整、制度化，不走海寇亡命节奏。
