deck_skeleton_id	archetype_id	scope	route_type	battle_type	tier	variant_index	deck_variant_role	weapon_style	expected_player_realm	complexity_level	target_card_count	attack_card_count	guard_card_count	movement_card_count	posture_break_card_count	tempo_card_count	combo_card_count	special_card_count	preferred_distance_min	preferred_distance_max	tactic_role_ratio	required_card_tags	forbidden_card_tags	ai_behavior_hint	reward_pressure_level	source_archetype_id	source_requirement_id	notes
enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	blademaster	4-8	2	9	3	2	1	1	1	1	0	1	2	pressure:35,approach:25,burst:20,guard:20	weapon_blademaster,role_approach,role_counter,variant_basic	player_only,weapon_mismatch,boss_only,true_boss_only	approach_and_counter	low	coastal_raider_blade	big_map_normal	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_coastal_raider_blade_advanced	coastal_raider_blade	big_map_normal	common	normal	basic	2	advanced	blademaster	4-8	2	11	3	2	2	1	1	2	0	1	2	pressure:35,approach:25,burst:20,guard:20	weapon_blademaster,role_approach,role_counter,variant_advanced	player_only,weapon_mismatch,boss_only,true_boss_only	approach_and_counter	low	coastal_raider_blade	big_map_normal	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_coastal_raider_blade_aggressive	coastal_raider_blade	big_map_normal	common	normal	basic	3	aggressive	blademaster	4-8	2	10	4	2	1	1	1	1	0	1	2	pressure:35,approach:25,burst:20,guard:20	weapon_blademaster,role_approach,role_counter,variant_aggressive	player_only,weapon_mismatch,boss_only,true_boss_only	pressure_until_player_retreats	low	coastal_raider_blade	big_map_normal	敌人卡组骨架 aggressive 变体；v0.3 只定义角色计数与标签约束。
enemy_coastal_raider_spear_basic	coastal_raider_spear	big_map_normal	common	normal	basic	1	basic	spearman	4-8	2	9	3	2	1	2	1	0	0	2	3	control:35,break:25,pressure:20,guard:20	weapon_spearman,role_control,role_break,variant_basic	player_only,weapon_mismatch,boss_only,true_boss_only	hold_distance_then_thrust	low	coastal_raider_spear	big_map_normal	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_coastal_raider_spear_advanced	coastal_raider_spear	big_map_normal	common	normal	basic	2	advanced	spearman	4-8	2	11	3	2	2	2	1	1	0	2	3	control:35,break:25,pressure:20,guard:20	weapon_spearman,role_control,role_break,variant_advanced	player_only,weapon_mismatch,boss_only,true_boss_only	hold_distance_then_thrust	low	coastal_raider_spear	big_map_normal	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_coastal_raider_spear_aggressive	coastal_raider_spear	big_map_normal	common	normal	basic	3	aggressive	spearman	4-8	2	10	4	2	1	2	1	0	0	2	3	control:35,break:25,pressure:20,guard:20	weapon_spearman,role_control,role_break,variant_aggressive	player_only,weapon_mismatch,boss_only,true_boss_only	pressure_until_player_retreats	low	coastal_raider_spear	big_map_normal	敌人卡组骨架 aggressive 变体；v0.3 只定义角色计数与标签约束。
enemy_militia_spearman_basic	militia_spearman	big_map_normal	common	normal	basic	1	basic	spearman	4-8	1	9	3	2	1	2	1	0	0	2	3	control:40,guard:25,break:20,pressure:15	weapon_spearman,role_control,role_break,variant_basic	player_only,weapon_mismatch,boss_only,true_boss_only	hold_distance_then_thrust	low	militia_spearman	big_map_normal	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_militia_spearman_advanced	militia_spearman	big_map_normal	common	normal	basic	2	advanced	spearman	4-8	1	11	3	2	2	2	1	1	0	2	3	control:40,guard:25,break:20,pressure:15	weapon_spearman,role_control,role_break,variant_advanced	player_only,weapon_mismatch,boss_only,true_boss_only	hold_distance_then_thrust	low	militia_spearman	big_map_normal	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_militia_spearman_aggressive	militia_spearman	big_map_normal	common	normal	basic	3	aggressive	spearman	4-8	1	10	4	2	1	2	1	0	0	2	3	control:40,guard:25,break:20,pressure:15	weapon_spearman,role_control,role_break,variant_aggressive	player_only,weapon_mismatch,boss_only,true_boss_only	pressure_until_player_retreats	low	militia_spearman	big_map_normal	敌人卡组骨架 aggressive 变体；v0.3 只定义角色计数与标签约束。
enemy_shield_blademan_basic	shield_blademan	big_map_normal	common	normal	basic	1	basic	blademaster	4-8	2	9	3	2	1	1	1	1	0	1	2	guard:40,counter:30,pressure:20,break:10	weapon_blademaster,role_approach,role_counter,variant_basic	player_only,weapon_mismatch,boss_only,true_boss_only	approach_and_counter	low	shield_blademan	big_map_normal	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
