battle_slot_id	domain	candidate_available	candidate_id	candidate_count	formal_source	fallback_policy	binding_reason	notes
big_map_elite_pool	battle_slot	true	big_map_elite_pool	1	content_engine	legacy	preview_battle_slot_candidate	battle_slot candidate available
big_map_elite_pool	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	enemy_deck default candidate
big_map_elite_pool	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_card_pool	readonly candidate no CardData write
big_map_elite_pool	reward	true	rw_big_map_elite_enemy_elite_blade_counter_elite_advanced	1	content_engine	legacy	slot_reward_lookup	reward 缺失时 fallback legacy
big_map_elite_pool	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_preview_operation_nodes	candidate only
big_map_elite_pool	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_preview_narrative_keys	key/hook only no body text
big_map_elite_pool	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_preview_route_gates	candidate only no formal routing change
big_map_normal_pool	battle_slot	true	big_map_normal_pool	1	content_engine	legacy	preview_battle_slot_candidate	battle_slot candidate available
big_map_normal_pool	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	enemy_deck default candidate
big_map_normal_pool	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_card_pool	readonly candidate no CardData write
big_map_normal_pool	reward	true	rw_big_map_normal_enemy_coastal_raider_blade_advanced	1	content_engine	legacy	slot_reward_lookup	reward 缺失时 fallback legacy
big_map_normal_pool	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_preview_operation_nodes	candidate only
big_map_normal_pool	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_preview_narrative_keys	key/hook only no body text
big_map_normal_pool	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_preview_route_gates	candidate only no formal routing change
normal_boss_01	battle_slot	true	normal_boss_01	1	content_engine	legacy	preview_battle_slot_candidate	battle_slot candidate available
normal_boss_01	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	enemy_deck default candidate
normal_boss_01	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_card_pool	readonly candidate no CardData write
normal_boss_01	reward	true	rw_boss_boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	slot_reward_lookup	reward 缺失时 fallback legacy
normal_boss_01	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_preview_operation_nodes	candidate only
normal_boss_01	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_preview_narrative_keys	key/hook only no body text
normal_boss_01	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_preview_route_gates	candidate only no formal routing change
prologue_01	battle_slot	true	prologue_01	1	content_engine	legacy	preview_battle_slot_candidate	battle_slot candidate available
prologue_01	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	enemy_deck default candidate
prologue_01	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_card_pool	readonly candidate no CardData write
prologue_01	reward	true	rw_prologue_01	1	content_engine	legacy	slot_reward_lookup	reward 缺失时 fallback legacy
prologue_01	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_preview_operation_nodes	candidate only
prologue_01	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_preview_narrative_keys	key/hook only no body text
prologue_01	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_preview_route_gates	candidate only no formal routing change
true_boss_01	battle_slot	true	true_boss_01	1	content_engine	legacy	preview_battle_slot_candidate	battle_slot candidate available
true_boss_01	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	enemy_deck default candidate
true_boss_01	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_card_pool	readonly candidate no CardData write
true_boss_01	reward	true	rw_boss_boss_true_boss_gatekeeper_phase_1	1	content_engine	legacy	slot_reward_lookup	reward 缺失时 fallback legacy
true_boss_01	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_preview_operation_nodes	candidate only
true_boss_01	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_preview_narrative_keys	key/hook only no body text
true_boss_01	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_preview_route_gates	candidate only no formal routing change
true_boss_02	battle_slot	true	true_boss_02	1	content_engine	legacy	preview_battle_slot_candidate	battle_slot candidate available
true_boss_02	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	enemy_deck default candidate
true_boss_02	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_card_pool	readonly candidate no CardData write
true_boss_02	reward	true	rw_boss_boss_true_boss_hidden_commander_phase_1	1	content_engine	legacy	slot_reward_lookup	reward 缺失时 fallback legacy
true_boss_02	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_preview_operation_nodes	candidate only
true_boss_02	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_preview_narrative_keys	key/hook only no body text
true_boss_02	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_preview_route_gates	candidate only no formal routing change
wuju_exam_01	battle_slot	true	wuju_exam_01	1	content_engine	legacy	preview_battle_slot_candidate	battle_slot candidate available
wuju_exam_01	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	enemy_deck default candidate
wuju_exam_01	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_card_pool	readonly candidate no CardData write
wuju_exam_01	reward	true	rw_wuju_exam_01	1	content_engine	legacy	slot_reward_lookup	reward 缺失时 fallback legacy
wuju_exam_01	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_preview_operation_nodes	candidate only
wuju_exam_01	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_preview_narrative_keys	key/hook only no body text
