narrative_node_id	source_type	source_id	scope	route_type	stage	trigger_stage	node_kind	narrative_role	route_affinity	risk_level	hook_tags	route_gate_tags	old_case_tags	military_merit_tags	clean_reputation_tags	lightness_tags	wuzhuangyuan_tags	expected_player_realm	expected_lightness_level	required_flags	optional_flags	blocked_by_flags	preview_key	result_key	choice_count	choice_profile	effect_profile	should_write_body	body_style	line_budget	source_operation_node_id	source_reward_plan_id	notes
nar_op_op_training_upgrade_01	operation_node	op_training_upgrade_01	big_map	common	big_map_early	big_map_early	operation_hook	setup	common	low	master_teaching	none	none	none	none	none	none	4-6	1	none	none	none	preview.operation.op_training_upgrade_01	result.operation.op_training_upgrade_01	1	single_continue	operation_context_mark	false	none	0	op_training_upgrade_01		v0.5c operation skeleton from op_training_upgrade_01.
nar_op_op_camp_rest_01	operation_node	op_camp_rest_01	big_map	common	big_map_early	big_map_early	operation_hook	setup	common	low	camp_rest	none	none	none	none	none	none	4-6	1	none	none	none	preview.operation.op_camp_rest_01	result.operation.op_camp_rest_01	1	single_continue	operation_context_mark	false	none	0	op_camp_rest_01		v0.5c operation skeleton from op_camp_rest_01.
nar_op_op_military_gate_merit_01	operation_node	op_military_gate_merit_01	big_map	normal	big_map_mid	big_map_mid	military_gate	pressure	normal	medium	military_gate	high_military_merit	none	military_gate,high_military_merit	clean_reputation_shift	none	none	6-8	1-2	none	high_military_merit	none	preview.operation.op_military_gate_merit_01	result.operation.op_military_gate_merit_01	1	single_continue	merit_gate_mark	false	none	0	op_military_gate_merit_01		v0.5c operation skeleton from op_military_gate_merit_01.
nar_op_op_weapon_service_01	operation_node	op_weapon_service_01	big_map	common	big_map_mid	big_map_mid	operation_hook	setup	common	medium	weapon_service	none	none	none	none	none	none	6-8	1-2	none	none	none	preview.operation.op_weapon_service_01	result.operation.op_weapon_service_01	1	single_continue	operation_context_mark	false	none	0	op_weapon_service_01		v0.5c operation skeleton from op_weapon_service_01.
nar_op_op_master_teaching_01	operation_node	op_master_teaching_01	big_map	optional	big_map_mid	big_map_mid	operation_hook	setup	optional	medium	master_teaching	true_route_candidate	true_route_candidate	none	clean_reputation_shift	none	none	6-8	2	none	clean_reputation_high	none	preview.operation.op_master_teaching_01	result.operation.op_master_teaching_01	1	single_continue	operation_context_mark	false	none	0	op_master_teaching_01		v0.5c operation skeleton from op_master_teaching_01.
nar_op_op_market_rumor_01	operation_node	op_market_rumor_01	big_map	common	big_map_mid	big_map_mid	operation_hook	setup	common	low	market_rumor	none	none	none	clean_reputation_shift	none	none	6-8	1-2	none	clean_reputation_high	none	preview.operation.op_market_rumor_01	result.operation.op_market_rumor_01	1	single_continue	operation_context_mark	false	none	0	op_market_rumor_01		v0.5c operation skeleton from op_market_rumor_01.
nar_op_op_old_case_clue_01	operation_node	op_old_case_clue_01	big_map	true_route	big_map_late	big_map_late	old_case_clue	clue	true_route	route	old_case	old_case_progress,true_route_candidate	old_case,old_case_progress,true_route_candidate	none	clean_reputation_shift	none	none	8-10	2	old_case_progress,true_route_candidate	realm_9_or_10	old_case_failed	preview.operation.op_old_case_clue_01	result.operation.op_old_case_clue_01	1	single_continue	clue_progress_mark	false	none	0	op_old_case_clue_01		v0.5c operation skeleton from op_old_case_clue_01.
nar_op_op_boss_prepare_01	operation_node	op_boss_prepare_01	big_map	normal	boss_prepare	boss_prepare	boss_prepare	preparation	normal	route	boss_prepare	none	none	none	none	none	none	8-10	2	none	none	none	preview.operation.op_boss_prepare_01	result.operation.op_boss_prepare_01	1	single_continue	boss_preparation_mark	false	none	0	op_boss_prepare_01		v0.5c operation skeleton from op_boss_prepare_01.
nar_op_op_lightness_encounter_01	operation_node	op_lightness_encounter_01	big_map	optional	big_map_late	big_map_late	lightness_encounter	choice	optional	rare	lightness_encounter	lightness_cap_3	none	none	none	lightness_encounter,lightness_cap_3,cap_3	none	8-10	2-3	none	lightness_3	none	preview.operation.op_lightness_encounter_01	result.operation.op_lightness_encounter_01	2	short_branch	lightness_route_mark	false	none	0	op_lightness_encounter_01		v0.5c operation skeleton from op_lightness_encounter_01.
nar_op_op_wuzhuangyuan_offer_01	operation_node	op_wuzhuangyuan_offer_01	big_map	wuzhuangyuan	big_map_late	big_map_late	route_offer	route_unlock	wuzhuangyuan	route	wuzhuangyuan_offer,military_gate	high_military_merit,wuzhuangyuan_candidate	none	military_gate,high_military_merit	none	none	wuzhuangyuan_offer,wuzhuangyuan_candidate	9-10	2-3	martial_realm_10,high_military_merit	realm_9_or_10	low_military_merit	preview.operation.op_wuzhuangyuan_offer_01	result.operation.op_wuzhuangyuan_offer_01	2	short_branch	route_offer_mark	false	none	0	op_wuzhuangyuan_offer_01		v0.5c operation skeleton from op_wuzhuangyuan_offer_01.
