node_id	battle_slot_id	player_visible	selectable	selected_in_probe	battle_flow_payload_available	enemy_deck_id	card_pool_count	reward_plan_id	reward_source	operation_node_count	narrative_key_count	route_gate_count	fallback_policy	legacy_fallback_available	writes_card_data	writes_story_data	writes_battle_state	writes_combat_result	notes
generated_node_big_map_elite_pool	big_map_elite_pool	true	true	true	true	boss_normal_boss_old_case_officer_phase_1	72	rw_big_map_elite_enemy_elite_blade_counter_elite_advanced	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_big_map_normal_pool	big_map_normal_pool	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_big_map_normal_enemy_coastal_raider_blade_advanced	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_normal_boss_01	normal_boss_01	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_boss_boss_normal_boss_old_case_officer_phase_1	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_prologue_01	prologue_01	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_prologue_01	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_true_boss_01	true_boss_01	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_boss_boss_true_boss_gatekeeper_phase_1	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_true_boss_02	true_boss_02	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_boss_boss_true_boss_hidden_commander_phase_1	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wuju_exam_01	wuju_exam_01	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_wuju_exam_01	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wuju_exam_02	wuju_exam_02	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_wuju_exam_02	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wuju_exam_03	wuju_exam_03	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_wuju_exam_03	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wuju_weapon_01	wuju_weapon_01	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_wuju_weapon_01	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wuju_weapon_02	wuju_weapon_02	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_wuju_weapon_02	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wz_exam_01	wz_exam_01	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_exam_exam_exam_capital_basic_weapon	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wz_exam_02	wz_exam_02	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_exam_exam_exam_capital_duel_chain	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wz_exam_03	wz_exam_03	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_exam_exam_exam_capital_footwork	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wz_exam_04	wz_exam_04	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_exam_exam_exam_capital_mixed_weapon	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_wz_exam_05	wz_exam_05	true	true	false	true	boss_normal_boss_old_case_officer_phase_1	72	rw_exam_exam_exam_imperial_final_examiner	content_engine	10	28	9	legacy	true	false	false	false	false	node_source=content_engine;payload_source=content_engine_candidate;narrative_key_count=28;route_gate_count=9
generated_node_sample_non_generated_preview_slot	sample_non_generated_preview_slot	false	false	false	false		0		legacy	0	0	0	legacy	true	false	false	false	false	non_generated_preview_slot_legacy
