fixture_name	fixture_path	expected_ok	actual_ok	match_status	expected_error_type	actual_error_type	manifest_loaded	manifest_valid	runtime_bundle_loaded	fail_closed	returned_domain_count	write_api_present	formal_runtime_unchanged	blocked_reason	notes
checksum_mismatch	data/design/runtime_loader_negative_fixtures/checksum_mismatch	false	false	matched	checksum_mismatch	checksum_mismatch	true	false	false	true	0	false	true	checksum_mismatch	v0.8g fixture probe only; not integrated into main flow.
content_fingerprint_mismatch	data/design/runtime_loader_negative_fixtures/content_fingerprint_mismatch	false	false	matched	content_fingerprint_mismatch	content_fingerprint_mismatch	true	false	false	true	0	false	true	content_fingerprint_mismatch	v0.8g fixture probe only; not integrated into main flow.
domain_mismatch	data/design/runtime_loader_negative_fixtures/domain_mismatch	false	false	matched	domain_mismatch	domain_mismatch	true	false	false	true	0	false	true	domain_mismatch	v0.8g fixture probe only; not integrated into main flow.
extra_runtime_file_present	data/design/runtime_loader_negative_fixtures/extra_runtime_file_present	false	false	matched	extra_runtime_file_present	extra_runtime_file_present	true	false	false	true	0	false	true	extra_runtime_file_present	v0.8g fixture probe only; not integrated into main flow.
field_count_mismatch	data/design/runtime_loader_negative_fixtures/field_count_mismatch	false	false	matched	field_count_mismatch	field_count_mismatch	true	false	false	true	0	false	true	field_count_mismatch	v0.8g fixture probe only; not integrated into main flow.
malformed_runtime_json	data/design/runtime_loader_negative_fixtures/malformed_runtime_json	false	false	matched	malformed_runtime_json	malformed_runtime_json	true	false	false	true	0	false	true	malformed_runtime_json	v0.8g fixture probe only; not integrated into main flow.
missing_manifest_field	data/design/runtime_loader_negative_fixtures/missing_manifest_field	false	false	matched	manifest_missing_field	manifest_missing_field	true	false	false	true	0	false	true	manifest_missing_field	v0.8g fixture probe only; not integrated into main flow.
record_count_mismatch	data/design/runtime_loader_negative_fixtures/record_count_mismatch	false	false	matched	record_count_mismatch	record_count_mismatch	true	false	false	true	0	false	true	record_count_mismatch	v0.8g fixture probe only; not integrated into main flow.
schema_fingerprint_mismatch	data/design/runtime_loader_negative_fixtures/schema_fingerprint_mismatch	false	false	matched	schema_fingerprint_mismatch	schema_fingerprint_mismatch	true	false	false	true	0	false	true	schema_fingerprint_mismatch	v0.8g fixture probe only; not integrated into main flow.
unknown_runtime_file	data/design/runtime_loader_negative_fixtures/unknown_runtime_file	false	false	matched	unknown_runtime_file	unknown_runtime_file	true	false	false	true	0	false	true	unknown_runtime_file	v0.8g fixture probe only; not integrated into main flow.
unsafe_runtime_path	data/design/runtime_loader_negative_fixtures/unsafe_runtime_path	false	false	matched	unsafe_runtime_path	unsafe_runtime_path	true	false	false	true	0	false	true	unsafe_runtime_path	v0.8g fixture probe only; not integrated into main flow.
valid_control	data/design/runtime_loader_negative_fixtures/valid_control	true	true	matched	none	none	true	true	true	true	2	false	true		v0.8g fixture probe only; not integrated into main flow.
