battle_slot_id	domain	candidate_available	candidate_id	candidate_count	formal_source	fallback_policy	binding_reason	notes
prologue_01	battle_slot	true	prologue_01	1	content_engine	legacy	slot_discovered	battle slot candidate
prologue_01	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
prologue_01	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
prologue_01	reward	true	rw_prologue_01	1	content_engine	legacy	slot_reward_lookup	reward 缺失则 legacy
prologue_01	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_operation_nodes	candidate only
prologue_01	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_narrative_hooks	key/hook only
prologue_01	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_route_gates	candidate only no formal routing change
wuju_exam_01	battle_slot	true	wuju_exam_01	1	content_engine	legacy	slot_discovered	battle slot candidate
wuju_exam_01	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
wuju_exam_01	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
wuju_exam_01	reward	true	rw_wuju_exam_01	1	content_engine	legacy	slot_reward_lookup	reward 缺失则 legacy
wuju_exam_01	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_operation_nodes	candidate only
wuju_exam_01	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_narrative_hooks	key/hook only
wuju_exam_01	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_route_gates	candidate only no formal routing change
wuju_exam_02	battle_slot	true	wuju_exam_02	1	content_engine	legacy	slot_discovered	battle slot candidate
wuju_exam_02	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
wuju_exam_02	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
wuju_exam_02	reward	true	rw_wuju_exam_02	1	content_engine	legacy	slot_reward_lookup	reward 缺失则 legacy
wuju_exam_02	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_operation_nodes	candidate only
wuju_exam_02	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_narrative_hooks	key/hook only
wuju_exam_02	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_route_gates	candidate only no formal routing change
wuju_exam_03	battle_slot	true	wuju_exam_03	1	content_engine	legacy	slot_discovered	battle slot candidate
wuju_exam_03	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
wuju_exam_03	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
wuju_exam_03	reward	true	rw_wuju_exam_03	1	content_engine	legacy	slot_reward_lookup	reward 缺失则 legacy
wuju_exam_03	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_operation_nodes	candidate only
wuju_exam_03	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_narrative_hooks	key/hook only
wuju_exam_03	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_route_gates	candidate only no formal routing change
wuju_weapon_01	battle_slot	true	wuju_weapon_01	1	content_engine	legacy	slot_discovered	battle slot candidate
wuju_weapon_01	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
wuju_weapon_01	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
wuju_weapon_01	reward	true	rw_wuju_weapon_01	1	content_engine	legacy	slot_reward_lookup	reward 缺失则 legacy
wuju_weapon_01	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_operation_nodes	candidate only
wuju_weapon_01	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_narrative_hooks	key/hook only
wuju_weapon_01	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_route_gates	candidate only no formal routing change
wuju_weapon_02	battle_slot	true	wuju_weapon_02	1	content_engine	legacy	slot_discovered	battle slot candidate
wuju_weapon_02	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
wuju_weapon_02	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
wuju_weapon_02	reward	true	rw_wuju_weapon_02	1	content_engine	legacy	slot_reward_lookup	reward 缺失则 legacy
wuju_weapon_02	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_operation_nodes	candidate only
wuju_weapon_02	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_narrative_hooks	key/hook only
wuju_weapon_02	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_route_gates	candidate only no formal routing change
wz_exam_01	battle_slot	true	wz_exam_01	1	content_engine	legacy	slot_discovered	battle slot candidate
wz_exam_01	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
wz_exam_01	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
wz_exam_01	reward	true	rw_exam_exam_exam_capital_basic_weapon	1	content_engine	legacy	slot_reward_lookup	reward 缺失则 legacy
wz_exam_01	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_operation_nodes	candidate only
wz_exam_01	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_narrative_hooks	key/hook only
wz_exam_01	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_route_gates	candidate only no formal routing change
wz_exam_02	battle_slot	true	wz_exam_02	1	content_engine	legacy	slot_discovered	battle slot candidate
wz_exam_02	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
wz_exam_02	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
wz_exam_02	reward	true	rw_exam_exam_exam_capital_duel_chain	1	content_engine	legacy	slot_reward_lookup	reward 缺失则 legacy
wz_exam_02	operation_node	true	operation_nodes_preview	10	content_engine_candidate	legacy	shared_operation_nodes	candidate only
wz_exam_02	narrative	true	narrative_key_hook_preview	28	content_engine_candidate	legacy	shared_narrative_hooks	key/hook only
wz_exam_02	route_gate	true	route_gates_preview	9	content_engine_candidate	legacy	shared_route_gates	candidate only no formal routing change
wz_exam_03	battle_slot	true	wz_exam_03	1	content_engine	legacy	slot_discovered	battle slot candidate
wz_exam_03	enemy_deck	true	boss_normal_boss_old_case_officer_phase_1	1	content_engine	legacy	whitelist_default_enemy_deck_candidate	default candidate
wz_exam_03	card_pool	true	card_pool_preview	72	content_engine_candidate	legacy	shared_preview_pool	readonly no CardData write
