encounter_id	display_name	player_template_id	player_deck_id	player_stat_set_id	opponent_template_id	opponent_deck_id	opponent_stat_set_id	settlement_mode	pressure_profile	intent_visibility_policy	notes
prologue_beach_teach	海边初战·教学	player_blademaster	player_blade_start	player_start	prologue_blade_recruit	prologue_blade_teach	easy	reactive	none	full	第一场教学战
prologue_beach_pressure	海边初战·逼身	player_blademaster	player_blade_start	player_start	prologue_blade_recruit	prologue_blade_pressure	normal	reactive	edge_pressure	realm_based	测试逼身压力
prologue_beach_break	海边初战·破势	player_blademaster	player_blade_start	player_start	prologue_blade_recruit	prologue_blade_break	normal	reactive	break_resist	realm_based	测试崩势教学，精英稳势
prologue_spear_keep	海边枪手·控距	player_blademaster	player_blade_start	player_start	prologue_spear_guard	prologue_spear_keep	normal	reactive	edge_pressure	realm_based	测试枪控距与边界压迫
master_rescue_001	师傅救场	master_veteran	master_veteran_rescue	master	prologue_blade_recruit	prologue_blade_pressure	pressure	reactive	none	full	师傅救场演示
symmetric_blade_duel	刀客高手对决	player_blademaster	player_blade_start	player_start	blade_duelist	blade_duelist_pressure	duel	reactive	break_resist	full	对称式刀客拆招测试
symmetric_spear_duel	枪手高手对决	player_spearman	player_spear_start	player_start	spear_duelist	spear_duelist_keep	duel	reactive	edge_pressure	full	对称式枪手控距测试
enc_prologue_master_rescue	序章救场	master_veteran	master_veteran_rescue	master	prologue_blade_recruit	prologue_blade_pressure	pressure	reactive	none	full	正式剧情：师傅救场
enc_beach_ambush	海边伏击	player_spearman	player_spear_start	player_start	prologue_spear_guard	prologue_spear_probe	easy	reactive	none	full	正式剧情：海边伏击
enc_fishing_village_embers	渔村残火	player_spearman	player_spear_start	player_start	wakou_raider	wakou_raider_smoke	easy	reactive	none	realm_based	正式剧情：渔村残火
enc_transport_officer	失械案押运官	player_blademaster	player_blade_start	player_start	transport_officer	transport_officer_pressure	normal_blade	reactive	break_resist	realm_based	正式剧情：押运官精英战
enc_mutiny_camp	欠饷营兵变	player_spearman	player_spear_start	player_start	mutiny_camp_leader	mutiny_camp_spear	elite_spear	reactive	edge_pressure	realm_based	正式剧情：欠饷营
enc_ch2_reed_ambush	芦苇荡伏击	player_spearman	player_spear_start	player_start	reed_ambusher	reed_ambusher_keep	normal_spear	reactive	edge_pressure	realm_based	正式剧情：第二章伏击
enc_ch3_escort_clash	护送线冲突	player_blademaster	player_blade_start	player_start	escort_blademaster	escort_blademaster_pressure	elite_blade	reactive	break_resist	realm_based	正式剧情：第三章护送战
enc_ch4_tide_bandits	潮滩匪首	player_blademaster	player_blade_start	player_start	tide_bandit	tide_bandit_pressure	chapter_pressure	reactive	none	realm_based	正式剧情：第四章潮滩匪
enc_boss_ext_wakou_leader	破船首领	player_blademaster	player_blade_start	player_start	wakou_leader	wakou_leader_boss	boss_blade	reactive	break_resist	realm_based	正式剧情：扩展 Boss
enc_wakou_boss	倭寇首领	player_blademaster	player_blade_start	player_start	wakou_leader	wakou_leader_boss	boss_blade	reactive	break_resist	realm_based	正式剧情：旧 Boss id 兼容
fallback	默认战斗	player_spearman	player_spear_start	player_start	fallback_spearman	fallback_spear_keep	normal_spear	reactive	none	full	正式剧情：兜底配置
enc_wuke_spear_trial	武举第一试·试枪	player_spearman	player_spear_start	player_start	wuke_spear_student	wuke_spear_student_teach	easy	reactive	none	full	正式剧情：武举第一试试枪（临时枪路线）
enc_wuke_blade_trial	武举第二试·试刀	player_blademaster	player_blade_start	player_start	wuke_blade_student	wuke_blade_student_teach	easy	reactive	none	full	正式剧情：武举第二试试刀（临时刀路线）
enc_wuke_final_duel	武举终试·红榜对决	player_blademaster	player_blade_start	player_start	wuke_final_student	wuke_final_student_duel	normal	reactive	none	realm_based	正式剧情：武举终试，玩家侧按已选路线覆写
enc_wuke_gu_chengyue	武举淘汰赛·顾承岳	player_spearman	player_spear_start	player_start	rival_gu_chengyue	rival_gu_chengyue_order	wuke_elim_1	reactive	none	full	正式剧情：武举淘汰赛第一场，玩家侧按 career_choice 覆写
enc_wuke_shen_zhaoye	武举淘汰赛·沈照夜	player_blademaster	player_blade_start	player_start	rival_shen_zhaoye	rival_shen_zhaoye_roam	wuke_elim_2	reactive	none	full	正式剧情：武举淘汰赛第二场，玩家侧按 career_choice 覆写
enc_wuke_qi_heng	武举淘汰赛·戚衡	player_blademaster	player_blade_start	player_start	rival_qi_heng	rival_qi_heng_duel	wuke_rival	reactive	break_resist	realm_based	正式剧情：武举淘汰赛第三场，玩家侧按 career_choice 覆写
