asset_id	type	source_path	runtime_path	hook_table	hook_key_field	hook_id	hook_field	status	note
chapter3_escort_clash	battle_background	art_reference/final/pixel_battle/backgrounds/battle_bg_chapter3_escort_clash.png	assets/pixel_battle/backgrounds/battle_bg_chapter3_escort_clash.png	tables/battle_scene_manifest.tsv	id	chapter3_escort_clash	background	GODOT_IMPORTED	第三章押运冲突战斗背景
chapter4_tide_bandits	battle_background	art_reference/final/pixel_battle/backgrounds/battle_bg_chapter4_tide_bandits.png	assets/pixel_battle/backgrounds/battle_bg_chapter4_tide_bandits.png	tables/battle_scene_manifest.tsv	id	chapter4_tide_bandits	background	GODOT_IMPORTED	第四章潮滩截杀正式场景提示词
boss_ext_wakou_leader_node	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_boss_ext_wakou_leader.png	assets/pixel_battle/backgrounds/narrative_boss_ext_wakou_leader.png	tables/narrative_mvp_node_status.tsv	id	boss_ext_wakou_leader_battle	visual_path	GODOT_IMPORTED	Boss扩展章破船首领节点正式场景提示词
boss_ext_master_freeze_arrow	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_boss_ext_master_freeze_arrow.png	assets/pixel_battle/backgrounds/narrative_boss_ext_master_freeze_arrow.png	tables/narrative_mvp_node_status.tsv	id	boss_ext_master_freeze_arrow	visual_path	GODOT_IMPORTED	Boss扩展章师父见箭停手正式场景提示词
ch4_master_hesitation	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_ch4_master_hesitation.png	assets/pixel_battle/backgrounds/narrative_ch4_master_hesitation.png	tables/narrative_mvp_node_status.tsv	id	ch4_master_hesitation	visual_path	GODOT_IMPORTED	第四章师父迟疑正式场景提示词
ch4_master_silence	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_ch4_master_silence.png	assets/pixel_battle/backgrounds/narrative_ch4_master_silence.png	tables/narrative_mvp_node_status.tsv	id	ch4_master_silence	visual_path	GODOT_IMPORTED	第四章师父沉默正式场景提示词
boss_ext_aftermath_choice	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_boss_ext_aftermath_choice.png	assets/pixel_battle/backgrounds/narrative_boss_ext_aftermath_choice.png	tables/narrative_mvp_node_status.tsv	id	boss_ext_aftermath_choice	visual_path	GODOT_IMPORTED	Boss扩展章破船战后正式场景提示词
military_order	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_military_order.png	assets/pixel_battle/backgrounds/narrative_military_order.png	tables/narrative_mvp_node_status.tsv	id	military_order	visual_path	GODOT_IMPORTED	P0 backlog seeded prompt for 军令巡海
chapter2_reed_ambush	battle_background	art_reference/final/pixel_battle/backgrounds/battle_bg_chapter2_reed_ambush.png	assets/pixel_battle/backgrounds/battle_bg_chapter2_reed_ambush.png	tables/battle_scene_manifest.tsv	id	chapter2_reed_ambush	background	PROMPT_READY	P0 backlog seeded prompt for 芦苇伏击
boss_ext_wakou_leader	battle_background	art_reference/final/pixel_battle/backgrounds/battle_bg_boss_ext_wakou_leader.png	assets/pixel_battle/backgrounds/battle_bg_boss_ext_wakou_leader.png	tables/battle_scene_manifest.tsv	id	boss_ext_wakou_leader	background	GODOT_IMPORTED	P0 backlog seeded prompt for 破船首领
narrative_military_coverup	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_military_coverup.png	assets/pixel_battle/backgrounds/narrative_military_coverup.png	tables/narrative_mvp_node_status.tsv	id	military_coverup	visual_path	PROMPT_READY	P0 backlog seeded prompt for 军门压案
narrative_fishing_village_embers	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_fishing_village_embers.png	assets/pixel_battle/backgrounds/narrative_fishing_village_embers.png	tables/narrative_mvp_node_status.tsv	id	ch2_silent_village	visual_path	PROMPT_READY	P0 backlog seeded prompt for 渔村残火
narrative_transport_officer_aftermath	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_transport_officer_aftermath.png	assets/pixel_battle/backgrounds/narrative_transport_officer_aftermath.png	tables/narrative_mvp_node_status.tsv	id	ch3_escort_aftermath	visual_path	PROMPT_READY	P0 backlog seeded prompt for 押运之后
ch4_hidden_document	narrative_prop	art_reference/final/narrative/props/prop_ch4_hidden_document.png	assets/narrative/props/prop_ch4_hidden_document.png	tables/narrative_mvp_node_status.tsv	id	ch4_hidden_document	visual_path	PROMPT_READY	P0 backlog seeded prompt for 夹层文书
ch2_sea_route_unusual	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_ch2_sea_route_unusual.png	assets/pixel_battle/backgrounds/narrative_ch2_sea_route_unusual.png	tables/narrative_mvp_node_status.tsv	id	ch2_sea_route_unusual	visual_path	GODOT_IMPORTED	P0 backlog seeded prompt for 海路异动
ch2_beach_tracks	narrative_prop	art_reference/final/narrative/props/prop_ch2_beach_tracks.png	assets/narrative/props/prop_ch2_beach_tracks.png	tables/narrative_mvp_node_status.tsv	id	ch2_beach_tracks	visual_path	GODOT_IMPORTED	P0 backlog seeded prompt for 滩涂脚印
ch2_reed_ambush_aftermath	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_ch2_reed_ambush_aftermath.png	assets/pixel_battle/backgrounds/narrative_ch2_reed_ambush_aftermath.png	tables/narrative_mvp_node_status.tsv	id	ch2_reed_ambush_aftermath	visual_path	GODOT_IMPORTED	P0 backlog seeded prompt for 芦苇伏击战后
ch2_night_signal_fire	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_ch2_night_signal_fire.png	assets/pixel_battle/backgrounds/narrative_ch2_night_signal_fire.png	tables/narrative_mvp_node_status.tsv	id	ch2_night_signal_fire	visual_path	GODOT_IMPORTED	P0 backlog seeded prompt for 夜火信号
ch3_firearm_marking	narrative_prop	art_reference/final/narrative/props/prop_ch3_firearm_marking.png	assets/narrative/props/prop_ch3_firearm_marking.png	tables/narrative_mvp_node_status.tsv	id	ch3_firearm_marking	visual_path	PROMPT_READY	P0 backlog seeded prompt for 明制火器刻印
ch3_sealed_crate	narrative_prop	art_reference/final/narrative/props/prop_ch3_sealed_crate.png	assets/narrative/props/prop_ch3_sealed_crate.png	tables/narrative_mvp_node_status.tsv	id	ch3_sealed_crate	visual_path	PROMPT_READY	P0 backlog seeded prompt for 封漆木箱
ch3_escort_silence	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_ch3_escort_silence.png	assets/pixel_battle/backgrounds/narrative_ch3_escort_silence.png	tables/narrative_mvp_node_status.tsv	id	ch3_escort_silence	visual_path	PROMPT_READY	P0 backlog seeded prompt for 押运无声
ch3_burned_storehouse	narrative_background	art_reference/final/pixel_battle/backgrounds/narrative_ch3_burned_storehouse.png	assets/pixel_battle/backgrounds/narrative_ch3_burned_storehouse.png	tables/narrative_mvp_node_status.tsv	id	ch3_burned_storehouse	visual_path	GODOT_IMPORTED	P0 backlog seeded prompt for 焦黑仓屋
