asset_id	priority	asset_type	subject_label	target_kind	target_id	hook_table	hook_key_field	hook_field	current_runtime_path	planned_runtime_path	planned_source_path	current_asset_class	planned_asset_class	runtime_role	prompt_status	source_status	runtime_status	hook_status	import_status	acceptance_status	overall_status	owner_note
prologue_master_rescue	P1	battle_background	黑潮救援	battle_id	prologue_master_rescue	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_black_tide.png	assets/pixel_battle/backgrounds/battle_bg_black_tide.png	art_reference/final/pixel_battle/backgrounds/battle_bg_black_tide.png	png_temp	png_formal	legacy_target	MISSING	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	EXISTING_RUNTIME_ONLY	
first_act_beach_ambush	P1	battle_background	海边伏击	battle_id	first_act_beach_ambush	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_coast_ambush.png	assets/pixel_battle/backgrounds/battle_bg_coast_ambush.png	art_reference/final/pixel_battle/backgrounds/battle_bg_coast_ambush.png	png_formal	png_formal	final_target	MISSING	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	WIRED_FINAL	
first_act_fishing_village_embers	P1	battle_background	渔村残火	battle_id	first_act_fishing_village_embers	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_fishing_village_embers.png	assets/pixel_battle/backgrounds/battle_bg_fishing_village_embers.png	art_reference/final/pixel_battle/backgrounds/battle_bg_fishing_village_embers.png	png_temp	png_formal	legacy_target	MISSING	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	EXISTING_RUNTIME_ONLY	
first_act_transport_officer	P1	battle_background	押运官对峙	battle_id	first_act_transport_officer	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_transport_road.png	assets/pixel_battle/backgrounds/battle_bg_transport_road.png	art_reference/final/pixel_battle/backgrounds/battle_bg_transport_road.png	png_temp	png_formal	legacy_target	MISSING	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	EXISTING_RUNTIME_ONLY	
first_act_mutiny_camp	P1	battle_background	欠饷营门	battle_id	first_act_mutiny_camp	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_mutiny_camp.png	assets/pixel_battle/backgrounds/battle_bg_mutiny_camp.png	art_reference/final/pixel_battle/backgrounds/battle_bg_mutiny_camp.png	png_temp	png_formal	legacy_target	MISSING	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	EXISTING_RUNTIME_ONLY	
first_act_wakou_boss	P1	battle_background	破船决战	battle_id	first_act_wakou_boss	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_broken_ship.png	assets/pixel_battle/backgrounds/battle_bg_broken_ship.png	art_reference/final/pixel_battle/backgrounds/battle_bg_broken_ship.png	png_temp	png_formal	legacy_target	MISSING	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	EXISTING_RUNTIME_ONLY	
test_spearman_duel	P2	battle_background	枪术试战	battle_id	test_spearman_duel	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_training_ground.png	assets/pixel_battle/backgrounds/battle_bg_training_ground.png	art_reference/final/pixel_battle/backgrounds/battle_bg_training_ground.png	png_temp	png_formal	legacy_target	MISSING	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	EXISTING_RUNTIME_ONLY	
test_blademaster_duel	P2	battle_background	刀术试战	battle_id	test_blademaster_duel	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_training_ground.png	assets/pixel_battle/backgrounds/battle_bg_training_ground.png	art_reference/final/pixel_battle/backgrounds/battle_bg_training_ground.png	png_temp	png_formal	legacy_target	MISSING	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	EXISTING_RUNTIME_ONLY	
fallback	P2	battle_background	默认接敌	battle_id	fallback	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_training_ground.png	assets/pixel_battle/backgrounds/battle_bg_training_ground.png	art_reference/final/pixel_battle/backgrounds/battle_bg_training_ground.png	png_temp	png_formal	legacy_target	MISSING	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	EXISTING_RUNTIME_ONLY	
military_order	P0	narrative_background	军令巡海	node_id	military_order	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_military_order.png	assets/pixel_battle/backgrounds/narrative_military_order.png	art_reference/final/pixel_battle/backgrounds/narrative_military_order.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
