id	name	category	cost	text
camp_breath	整息	守	0	获得 2 势并抽 1 张牌。
chain_thrust	进步连环刺	攻	3	距离 -1，造成 8 伤害并削敌 2 势。
cross_slash	掠地反撩	攻	2	距离 -1，造成 7 伤害。若在优势距离，再削敌 2 势。
dragon_break	崩枪	攻	4	造成 11 伤害并削敌 3 势。若目标崩塌，则耗势 -2 且追加 6 伤害。
dragonslash	拖刀杀	攻	4	造成 10 伤害。若目标崩塌，本牌耗势变为 0 且必定暴击。
execution	斩首	攻	3	对崩塌目标造成 14 伤害，否则仅造成 5 伤害。
guard_frame	架势收锋	守	1	获得 6 格挡。若本回合未受伤，回合结束再获得 1 势。
mid_spear	中平枪	攻	2	造成 6 伤害并削敌 2 势。若距离不在 2-3，伤害 -2。
pinning_hold	拦拿	攻	2	获得 4 格挡，并削敌 2 势。若处于优势距离，再削 1 势。
retreat_half	退步半身	守	1	距离 +1，抽 1 张牌。
rush_step	赶步进身	攻	1	距离 -1，若因此进入优势距离则本回合下一次攻击额外 +2 伤害。
sidestep	斜闪绕身	守	0	距离 +1，本回合获得 2 格挡。
steady_step	寸步稳枪	守	0	距离 +1，若进入你的优势距离则获得 1 格挡。
swift_cut	连珠斩	攻	1	造成 4 伤害并削敌 1 势。若目标已失去 4 点以上势，再追加 2 伤害。
