enemy_id	order	id	name	min	max	cost	role	gain	break	damage	guard	tags	style	facing
enemy_blademaster_prologue_raider	1	e_i1	乱步	0	2	1	momentum	1	0	0	0	教学	短	true
enemy_blademaster_prologue_raider	2	e_i2	乱砍	0	2	1	damage	0	0	3	0	低威胁	短	true
enemy_blademaster_prologue_raider	3	e_i3	退守	0	3	1	guard	0	0	0	3	守	短	false
enemy_blademaster_prologue_raider	4	e_i4	困兽	0	1	2	damage	0	0	5	0	线索	短	true
enemy_spearman_beach_ambush	1	e_s1	敌枪一	3	5	1	momentum	2	0	0	0	试探	枪	true
enemy_spearman_beach_ambush	2	e_s2	敌枪二	3	5	1	momentum	0	2	0	0	抢势	枪	true
enemy_spearman_beach_ambush	3	e_s3	敌枪三	3	5	1	damage	0	0	4	0	突刺	枪	true
enemy_spearman_beach_ambush	4	e_s4	敌枪守	0	5	1	guard	0	0	0	4	守	枪	false
enemy_spearman_beach_ambush	5	e_s5	敌枪终	4	5	2	damage	0	1	7	0	重击	枪	true
enemy_wakou_raider_fishing_village	1	e_v1	烟中乱步	0	2	1	momentum	2	0	0	0	烟|突袭	刀	true
enemy_wakou_raider_fishing_village	2	e_v2	低身乱斩	0	2	1	damage	0	0	5	0	乱斩	刀	true
enemy_wakou_raider_fishing_village	3	e_v3	火边逼步	0	2	1	momentum	0	2	0	0	逼步|破势	刀	true
enemy_wakou_raider_fishing_village	4	e_v4	残门遮身	0	3	1	guard	0	0	0	4	守	刀	false
enemy_wakou_raider_fishing_village	5	e_v5	余火一刀	0	1	2	damage	0	1	8	0	重击|火	刀	true
enemy_blademaster_transport_officer	1	e_o1	官式一	0	2	1	momentum	2	0	0	0	压迫	刀	true
enemy_blademaster_transport_officer	2	e_o2	官式二	0	2	1	momentum	0	3	0	0	破势	刀	true
enemy_blademaster_transport_officer	3	e_o3	官式三	0	2	2	damage	0	1	7	3	反击	刀	true
enemy_blademaster_transport_officer	4	e_o4	官式四	0	2	1	damage	0	0	5	0	压制	刀	true
enemy_blademaster_transport_officer	5	e_o5	官守式	0	3	1	guard	0	0	0	6	守	刀	false
enemy_blademaster_transport_officer	6	e_o6	官终式	0	1	2	damage	0	1	9	0	终结	刀	true
enemy_mutiny_camp_leader	1	e_m1	横枪守门	0	5	1	guard	0	0	0	7	守|营门	枪	false
enemy_mutiny_camp_leader	2	e_m2	欠饷压步	3	5	1	momentum	2	1	0	0	压步	枪	true
enemy_mutiny_camp_leader	3	e_m3	破阵一刺	3	5	1	damage	0	1	5	0	突刺|破势	枪	true
enemy_mutiny_camp_leader	4	e_m4	旧兵反顶	2	4	2	damage	0	2	7	3	反击	枪	true
enemy_mutiny_camp_leader	5	e_m5	饷尽怒刺	3	5	2	damage	0	1	9	0	重击	枪	true
enemy_blademaster_wakou_leader	1	e_b1	首领式一	0	2	1	momentum	2	1	0	0	虚招	刀	true
enemy_blademaster_wakou_leader	2	e_b2	首领式二	0	2	1	momentum	0	3	0	0	抢势	刀	true
enemy_blademaster_wakou_leader	3	e_b3	首领式三	0	2	1	damage	0	0	6	0	连段	刀	true
enemy_blademaster_wakou_leader	4	e_b4	首领式四	0	1	2	damage	0	1	10	0	终结	刀	true
enemy_blademaster_wakou_leader	5	e_b5	首领守式	0	3	1	guard	0	0	0	6	守	刀	false
enemy_blademaster_wakou_leader	6	e_b6	首领终式	0	1	2	damage	0	0	8	2	线索	刀	true
enemy_spearman_fallback	1	e_s1	敌枪一	3	5	1	momentum	2	0	0	0	试探	枪	true
enemy_spearman_fallback	2	e_s2	敌枪二	3	5	1	momentum	0	2	0	0	抢势	枪	true
enemy_spearman_fallback	3	e_s3	敌枪三	3	5	1	damage	0	0	4	0	突刺	枪	true
enemy_spearman_fallback	4	e_s4	敌枪守	0	5	1	guard	0	0	0	4	守	枪	false
enemy_spearman_fallback	5	e_s5	敌枪终	4	5	2	damage	0	1	7	0	重击	枪	true
