track_id	order	t	type	power
black_tide_0	1	0.25	hold	0.1
black_tide_0	2	2.3	mist	0.08
black_tide_1	1	0.5	mist	0.09
black_tide_1	2	2.2	fire	0.16
black_tide_2	1	0.7	mist	0.12
black_tide_2	2	1.6	fire	0.24
black_tide_2	3	2.2	focus	0.1
black_tide_3	1	0.35	mist	0.15
black_tide_3	2	1.2	fire	0.28
black_tide_3	3	2.1	hold	0.12
master_rescue	1	0.25	fire	0.24
master_rescue	2	0.65	character	0.16
master_rescue	3	1.65	focus	0.1
arrow_silence	1	0.4	hold	0.18
arrow_silence	2	1.1	focus	0.12
departure	1	0.45	character	0.1
departure	2	1.4	mist	0.06
military_order	1	0.35	character	0.08
military_order	2	1.5	hold	0.06
beach_ambush	1	0.35	mist	0.14
beach_ambush	2	1.1	focus	0.1
beach_ambush	3	1.75	character	0.08
ming_firearm	1	0.25	fire	0.24
ming_firearm	2	0.95	focus	0.14
ming_firearm	3	2.1	hold	0.08
transport_officer	1	0.4	character	0.1
transport_officer	2	1.1	mist	0.1
transport_officer	3	2.05	hold	0.08
wakou_boss	1	0.25	mist	0.16
wakou_boss	2	0.95	fire	0.24
wakou_boss	3	1.7	character	0.12
wakou_boss	4	2.6	focus	0.12
military_coverup	1	0.35	hold	0.18
military_coverup	2	1.8	focus	0.1
