track_id	master	master_push	speed	pulse	fire	hero	hero_push	zoom	pan_x	pan_y	dim	mist	duration
black_tide_0			0.55	0.02	0.02	False	0.0	0.012	-8.0	2.0	0.42	0.32	3.2
black_tide_1			0.75	0.026	0.05	False	0.0	0.018	-4.0	1.0	0.34	0.42	3.0
black_tide_2			1.0	0.034	0.1	False	0.0	0.026	4.0	0.0	0.29	0.5	3.0
black_tide_3			1.18	0.046	0.14	False	0.0	0.034	10.0	-2.0	0.24	0.58	3.4
master_rescue	True	10.0			0.14	False	0.0	0.02	8.0	-1.0	0.24	0.22	2.8
arrow_silence	True	-4.0			0.0	False	0.0	0.015	-6.0	0.0	0.34	0.24	2.4
departure	False	0.0			0.0	True	-8.0	0.018	5.0	-1.0	0.18	0.16	3.0
military_order					0.035	True	-4.0	0.015	2.0	-1.0	0.16	0.1	3.0
beach_ambush					0.06	True	-11.0	0.04	14.0	-3.0	0.31	0.42	2.6
ming_firearm					0.34	False	0.0	0.09	0.0	-5.0	0.08	0.02	3.4
transport_officer					0.035	True	-8.0	0.03	8.0	-1.0	0.34	0.32	2.9
wakou_boss					0.22	True	-13.0	0.05	16.0	-3.0	0.38	0.42	3.3
military_coverup					0.01	False	0.0	0.02	-6.0	0.0	0.48	0.12	3.4
node					0.02	False	0.0	0.018	4.0	0.0	0.22	0.18	2.2
