enemy_id	order	name	cost	move_to	move_delta	damage	momentum_damage	guard	range_bonus	tags
captain_boss	1	拦拿连封	5			9	2		2|3	压势|长兵
captain_boss	2	中平迫杀	6			14	1		2|3	重击
captain_boss	3	逼退整列	3		1	5	1	5		控距|整列
dual_ronin	1	双影连斩	5		-1	12	1			连击|突进
dual_ronin	2	虚实换手	3			7	2			变招
dual_ronin	3	压迫追斩	4			9	1			连压
firearms_officer	1	火铳齐发	5			13	0		3	蓄招|远程
firearms_officer	2	换装压阵	3			6	1	4		整队
firearms_officer	3	枪叉顶住	2		1	4	1			拒近
militia_spear	1	中平压阵	4			8	1		2|3	长兵
militia_spear	2	拦拿	3			5	2			压势
militia_spear	3	逼退	2		1	4	0			控距
raider	1	燕返	4		-1	9	0			突进|流血
raider	2	乱斩	3			6	0			连击
raider	3	逼步抢身	2		-1	4	1			抢距
shield_blade	1	顶架逼身	3		-1	5	0	6		格挡|逼身
shield_blade	2	顺势反切	4			10	0			反击
shield_blade	3	压刀	2			4	1			压势
