id	title	kind	enemy_id	heal	map_length	initial_distance	next
start	行军起点	start					battle_raider|camp_0
battle_raider	遭遇战	battle	raider		9	2	school_1|order_1
camp_0	行营	camp		12			battle_militia|order_1
battle_militia	遭遇战	battle	militia_spear		9	2	school_1|battle_shield
school_1	校场	school					battle_shield|elite_dual
order_1	军令	order					battle_shield|elite_fire
battle_shield	遭遇战	battle	shield_blade		9	2	camp_1|elite_dual
camp_1	行营	camp		10			elite_fire|boss_final
elite_dual	精英战	battle	dual_ronin		9	2	boss_final
elite_fire	精英战	battle	firearms_officer		9	2	boss_final
boss_final	头目战	battle	captain_boss		9	2	
